opportunity_type,direction,platform_a,market_a,title_a,leg_a_side,leg_a_ask,leg_a_fee,platform_b,market_b,title_b,leg_b_side,leg_b_ask,leg_b_fee,gross_cost,net_profit_per_dollar,fillable_size_dollars,fillable_size_basis,liquidity_sufficient,legal_footprint_status,legal_footprint_note,category,title_similarity,close_time_gap_hours,match_path,liquidity_a,liquidity_b,volume_a,volume_b,flagged_at
cross_venue,polymarket_yes_kalshi_no,polymarket,0x95b22110436ed02e65614a42e049e47e9cfeb55eb103cb0d997a3e802d8d52ce,Will the Republican Party win the MI-07 House seat?,YES,0.4,0.0096,kalshi,HOUSEMI7-26-R,Will Republican win the House race for MI-7?,NO,0.56,0.02,0.96,0.0104,104.0,leg_a=polymarket_liquidity_dollars_divided_by_price_approximation_leg_b=kalshi_real_order_book_size_field_min_leg_b_binding,True,both_venues_available,"Legal availability is a moving target and this project has not yet built a full per-state, per-track verification pass - see /docs/venue_legal_footprint.md. Kalshi's SPORTS contracts specifically are restricted in AZ, MA, MD, MI, MT, NV, OH as of this session; none of this project's three current Kalshi tracks (Climate/Commodities, Elections) are Sports contracts. Always confirm via each venue's own live eligibility tool before a real trade, not this constant.",Elections - US House District,0.5,8751.0,elections_wide,2989.8606,0.0,6329.197230000001,11582.37,2026-09-06T10:12:14.479572+00:00
cross_venue,kalshi_yes_polymarket_no,kalshi,KXHOUSETX9-26-R,Will Republican win the House race for TX-09?,YES,0.86,0.01,polymarket,0x8018fc7565ce46e53135d17adbbf84ec393088ebbffa3a324214202785cd98c6,Will the Republican Party win the IN-09 House seat?,NO,0.06000000000000005,0.0023,0.92,0.0677,200.0,leg_a=kalshi_real_order_book_size_field_leg_b=polymarket_liquidity_dollars_divided_by_price_approximation_min_leg_a_binding,True,both_venues_available,"Legal availability is a moving target and this project has not yet built a full per-state, per-track verification pass - see /docs/venue_legal_footprint.md. Kalshi's SPORTS contracts specifically are restricted in AZ, MA, MD, MI, MT, NV, OH as of this session; none of this project's three current Kalshi tracks (Climate/Commodities, Elections) are Sports contracts. Always confirm via each venue's own live eligibility tool before a real trade, not this constant.",Elections - US House District,0.5,8775.0,elections_wide,0.0,8921.1025,7093.37,15085.924055000001,2026-09-06T10:12:14.479572+00:00
cross_venue,polymarket_yes_kalshi_no,polymarket,0x73d5c7e357e622677e27a006e5dba5179a83cfd93b04e17d2e0d7ea2322040e6,Will the Democratic Party win the IN-09 House seat?,YES,0.06,0.0023,kalshi,KXHOUSETX9-26-D,Will Democratic win the House race for TX-09?,NO,0.85,0.01,0.91,0.0777,15.0,leg_a=polymarket_liquidity_dollars_divided_by_price_approximation_leg_b=kalshi_real_order_book_size_field_min_leg_b_binding,False,both_venues_available,"Legal availability is a moving target and this project has not yet built a full per-state, per-track verification pass - see /docs/venue_legal_footprint.md. Kalshi's SPORTS contracts specifically are restricted in AZ, MA, MD, MI, MT, NV, OH as of this session; none of this project's three current Kalshi tracks (Climate/Commodities, Elections) are Sports contracts. Always confirm via each venue's own live eligibility tool before a real trade, not this constant.",Elections - US House District,0.5,8775.0,elections_wide,21839.2014,0.0,9070.734975,8326.17,2026-09-06T10:12:14.479572+00:00
cross_venue,kalshi_yes_polymarket_no,kalshi,KXHOUSEWA8-26-R,Will a Republican win the House race for WA-08?,YES,0.055,0.01,polymarket,0xd6ab89f04100c439d29aae1b132326a0250c21c093f3cd51427c3a12db9216d2,Will the Republican Party win the IN-08 House seat?,NO,0.03300000000000003,0.0013,0.088,0.9007,200.0,leg_a=kalshi_real_order_book_size_field_leg_b=polymarket_liquidity_dollars_divided_by_price_approximation_min_leg_a_binding,True,both_venues_available,"Legal availability is a moving target and this project has not yet built a full per-state, per-track verification pass - see /docs/venue_legal_footprint.md. Kalshi's SPORTS contracts specifically are restricted in AZ, MA, MD, MI, MT, NV, OH as of this session; none of this project's three current Kalshi tracks (Climate/Commodities, Elections) are Sports contracts. Always confirm via each venue's own live eligibility tool before a real trade, not this constant.",Elections - US House District,0.5,8775.0,elections_wide,0.0,15205.54891,789.0,26182.252646,2026-09-06T10:12:14.479572+00:00
cross_venue,polymarket_yes_kalshi_no,polymarket,0x07db4ca35f28bc5ca53a161794ab7b6aad0f3f4b32786fd2c3ca3070cbd31d23,Will the Republican Party win the OR-05 House seat?,YES,0.076,0.0028,kalshi,KXHOUSEMO5-26-R,Will Republican win the House race for MO-05?,NO,0.79,0.02,0.866,0.1112,18.24,leg_a=polymarket_liquidity_dollars_divided_by_price_approximation_leg_b=kalshi_real_order_book_size_field_min_leg_b_binding,False,both_venues_available,"Legal availability is a moving target and this project has not yet built a full per-state, per-track verification pass - see /docs/venue_legal_footprint.md. Kalshi's SPORTS contracts specifically are restricted in AZ, MA, MD, MI, MT, NV, OH as of this session; none of this project's three current Kalshi tracks (Climate/Commodities, Elections) are Sports contracts. Always confirm via each venue's own live eligibility tool before a real trade, not this constant.",Elections - US House District,0.5,8751.0,elections_wide,13853.22988,0.0,4182.9446,32959.23,2026-09-06T10:12:14.479572+00:00
cross_venue,kalshi_yes_polymarket_no,kalshi,KXHOUSEMO5-26-R,Will Republican win the House race for MO-05?,YES,0.23,0.02,polymarket,0x3b4e5588525b157216ef93c7149e67f937f5dd386e2d88ab68949c27a6ff751e,Will the Republican Party win the IN-05 House seat?,NO,0.17000000000000004,0.0056,0.4,0.5744,500.0,leg_a=kalshi_real_order_book_size_field_leg_b=polymarket_liquidity_dollars_divided_by_price_approximation_min_leg_a_binding,True,both_venues_available,"Legal availability is a moving target and this project has not yet built a full per-state, per-track verification pass - see /docs/venue_legal_footprint.md. Kalshi's SPORTS contracts specifically are restricted in AZ, MA, MD, MI, MT, NV, OH as of this session; none of this project's three current Kalshi tracks (Climate/Commodities, Elections) are Sports contracts. Always confirm via each venue's own live eligibility tool before a real trade, not this constant.",Elections - US House District,0.5,8775.0,elections_wide,0.0,11451.4027,32959.23,14024.155914999998,2026-09-06T10:12:14.479572+00:00
cross_venue,kalshi_yes_polymarket_no,kalshi,KXHOUSEMO5-26-D,Will Democratic win the House race for MO-05?,YES,0.8,0.02,polymarket,0x57d601622f7211f1bafc592e21baf81df8f44741e6ee708aee2449b49b58fc82,Will the Democratic Party win the OR-05 House seat?,NO,0.08999999999999997,0.0033,0.89,0.0867,7.14,leg_a=kalshi_real_order_book_size_field_leg_b=polymarket_liquidity_dollars_divided_by_price_approximation_min_leg_a_binding,False,both_venues_available,"Legal availability is a moving target and this project has not yet built a full per-state, per-track verification pass - see /docs/venue_legal_footprint.md. Kalshi's SPORTS contracts specifically are restricted in AZ, MA, MD, MI, MT, NV, OH as of this session; none of this project's three current Kalshi tracks (Climate/Commodities, Elections) are Sports contracts. Always confirm via each venue's own live eligibility tool before a real trade, not this constant.",Elections - US House District,0.5,8751.0,elections_wide,0.0,13974.6729,26928.99,884.0640460000001,2026-09-06T10:12:14.479572+00:00
cross_venue,polymarket_yes_kalshi_no,polymarket,0x98f22f0ec396ec65364048a14c0b30f3a4f79065ab26581a516b5fa570253d51,Will the Democratic Party win the IN-05 House seat?,YES,0.17,0.0056,kalshi,KXHOUSEMO5-26-D,Will Democratic win the House race for MO-05?,NO,0.23,0.02,0.4,0.5744,18.94,leg_a=polymarket_liquidity_dollars_divided_by_price_approximation_leg_b=kalshi_real_order_book_size_field_min_leg_b_binding,False,both_venues_available,"Legal availability is a moving target and this project has not yet built a full per-state, per-track verification pass - see /docs/venue_legal_footprint.md. Kalshi's SPORTS contracts specifically are restricted in AZ, MA, MD, MI, MT, NV, OH as of this session; none of this project's three current Kalshi tracks (Climate/Commodities, Elections) are Sports contracts. Always confirm via each venue's own live eligibility tool before a real trade, not this constant.",Elections - US House District,0.5,8775.0,elections_wide,10399.5093,0.0,14530.962116,26928.99,2026-09-06T10:12:14.479572+00:00
cross_venue,polymarket_yes_kalshi_no,polymarket,0x5a673e77f9bf56f9dd3f268dc8031cd5e89be27a3923e6bb56eb64899a382d0c,Will the Republican Party win the OR-03 House seat?,YES,0.047,0.0018,kalshi,KXHOUSEUT03-26-R,Will Republican win the House race for UT-03?,NO,0.099,0.01,0.146,0.8422,200.0,leg_a=polymarket_liquidity_dollars_divided_by_price_approximation_leg_b=kalshi_real_order_book_size_field_min_leg_b_binding,True,both_venues_available,"Legal availability is a moving target and this project has not yet built a full per-state, per-track verification pass - see /docs/venue_legal_footprint.md. Kalshi's SPORTS contracts specifically are restricted in AZ, MA, MD, MI, MT, NV, OH as of this session; none of this project's three current Kalshi tracks (Climate/Commodities, Elections) are Sports contracts. Always confirm via each venue's own live eligibility tool before a real trade, not this constant.",Elections - US House District,0.5,8775.0,elections_wide,34898.28089,0.0,15325.398982000002,6488.66,2026-09-06T10:12:14.479572+00:00
cross_venue,kalshi_yes_polymarket_no,kalshi,KXHOUSEUT03-26-D,Will Democratic win the House race for UT-03?,YES,0.099,0.01,polymarket,0xc92fb819dcfec61a01bcb62edda403be4c289c77d9f627701282173d766cd511,Will the Democratic Party win the OR-03 House seat?,NO,0.04600000000000004,0.0018,0.145,0.8432,200.0,leg_a=kalshi_real_order_book_size_field_leg_b=polymarket_liquidity_dollars_divided_by_price_approximation_min_leg_a_binding,True,both_venues_available,"Legal availability is a moving target and this project has not yet built a full per-state, per-track verification pass - see /docs/venue_legal_footprint.md. Kalshi's SPORTS contracts specifically are restricted in AZ, MA, MD, MI, MT, NV, OH as of this session; none of this project's three current Kalshi tracks (Climate/Commodities, Elections) are Sports contracts. Always confirm via each venue's own live eligibility tool before a real trade, not this constant.",Elections - US House District,0.5,8775.0,elections_wide,0.0,10271.02928,1823.0,4810.936783,2026-09-06T10:12:14.479572+00:00
